Taille, Temps_Iteratif, Temps_Recursif
1048576, 0.07, 0.07
2097152, 0.08, 0.08
4194304, 0.05, 0.06
8388608, 0.09, 0.11
16777216, 0.07, 0.08
33554432, 0.10, 0.10
67108864, 0.07, 0.07
134217728, 0.09, 0.10
