Sommets,Densite,Type,Temps_BFS,Temps_DFS
50,0.1,Sparse,0.02,0.01
50,0.3,Medium,0.02,0.02
50,0.7,Dense,0.03,0.03
100,0.1,Sparse,0.05,0.03
100,0.3,Medium,0.08,0.07
100,0.7,Dense,0.14,0.13
200,0.1,Sparse,0.09,0.09
200,0.3,Medium,0.08,0.08
200,0.7,Dense,0.20,0.21
500,0.1,Sparse,0.21,0.22
500,0.3,Medium,0.90,0.92
500,0.7,Dense,2.46,2.35
1000,0.1,Sparse,1.27,1.32
1000,0.3,Medium,4.32,4.34
1000,0.7,Dense,22.34,21.98
2000,0.1,Sparse,7.52,7.41
2000,0.3,Medium,106.71,114.66
2000,0.7,Dense,275.94,291.65
